id,Geo Footnote,Geographic Area Name,2017 NAICS code,2017 NAICS Footnote,Meaning of NAICS code,Year,Number of firms,Number of establishments,"Sales, value of shipments, or revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
0400000US12,null,Florida,448120,null,Women's clothing stores,2017,1071,2334,2931017,415552,107406,24261,30% to less than 40%,40% to less than 50%,40% to less than 50%
0400000US12,null,Florida,448130,null,Children's and infants' clothing stores,2017,161,454,559546,67450,16824,4946,Less than 10%,20% to less than 30%,10% to less than 20%
0400000US12,null,Florida,448140,null,Family clothing stores,2017,693,2578,10509984,1074188,241697,68032,Less than 10%,20% to less than 30%,20% to less than 30%
0400000US12,null,Florida,448150,null,Clothing accessories stores,2017,415,806,1033396,131612,34413,6635,50% to less than 60%,40% to less than 50%,30% to less than 40%
0400000US12,null,Florida,448190,null,Other clothing stores,2017,703,1044,1374955,198819,49473,10390,20% to less than 30%,10% to less than 20%,10% to less than 20%
0400000US12,null,Florida,448210,null,Shoe stores,2017,418,1783,2909470,299658,76304,18893,30% to less than 40%,30% to less than 40%,40% to less than 50%
0400000US12,null,Florida,448310,null,Jewelry stores,2017,1445,1894,2612995,326814,87216,9698,10% to less than 20%,10% to less than 20%,10% to less than 20%
0400000US12,null,Florida,448320,null,Luggage and leather goods stores,2017,62,114,314794,24733,6107,561,10% to less than 20%,10% to less than 20%,20% to less than 30%
0400000US12,null,Florida,451110,null,Sporting goods stores,2017,1370,1588,2504866,302342,69278,12412,20% to less than 30%,20% to less than 30%,20% to less than 30%
0400000US12,null,Florida,451120,null,"Hobby, toy, and game stores",2017,305,521,1044078,124421,30031,8466,Less than 10%,Less than 10%,Less than 10%
0400000US12,null,Florida,451130,null,"Sewing, needlework, and piece goods stores",2017,162,217,231736,31567,7730,2150,Less than 10%,Less than 10%,Less than 10%
0400000US12,null,Florida,451140,null,Musical instrument and supplies stores,2017,147,200,243141,37974,8957,1510,20% to less than 30%,10% to less than 20%,20% to less than 30%
0400000US12,null,Florida,451211,null,Book stores,2017,140,381,555720,67613,18162,4643,Less than 10%,30% to less than 40%,50% to less than 60%
0400000US12,null,Florida,451212,null,News dealers and newsstands,2017,15,20,14075,2471,612,116,20% to less than 30%,20% to less than 30%,30% to less than 40%
0400000US12,null,Florida,452210,null,Department stores,2017,7,263,4578402,697016,175698,31147,Less than 10%,10% to less than 20%,10% to less than 20%
0400000US12,null,Florida,452311,null,Warehouse clubs and supercenters,2017,5,480,36335722,3246599,834959,120656,Less than 10%,10% to less than 20%,10% to less than 20%
0400000US12,null,Florida,452319,null,All other general merchandise stores,2017,605,2618,4291861,382960,94293,25377,Less than 10%,Less than 10%,50% to less than 60%
0400000US12,null,Florida,453110,null,Florists,2017,604,628,261810,57026,14682,2854,10% to less than 20%,Less than 10%,Less than 10%
0400000US12,null,Florida,453210,null,Office supplies and stationery stores,2017,182,402,894517,95331,22727,5155,Less than 10%,Less than 10%,Less than 10%
0400000US12,null,Florida,453220,null,"Gift, novelty, and souvenir stores",2017,1085,1472,1387588,225891,54912,12654,30% to less than 40%,30% to less than 40%,30% to less than 40%
0400000US12,null,Florida,453310,null,Used merchandise stores,2017,1022,1411,943767,206951,52417,10717,10% to less than 20%,10% to less than 20%,10% to less than 20%
0400000US12,null,Florida,453910,null,Pet and pet supplies stores,2017,504,811,1261153,169851,43552,8139,Less than 10%,Less than 10%,Less than 10%
0400000US12,null,Florida,453920,null,Art dealers,2017,406,425,281032,39778,10446,1197,20% to less than 30%,10% to less than 20%,10% to less than 20%
0400000US12,null,Florida,453930,null,Manufactured (mobile) home dealers,2017,84,117,306978,16406,3839,365,Less than 10%,Less than 10%,Less than 10%
0400000US12,null,Florida,453991,null,Tobacco stores,2017,635,670,378077,44735,10751,2211,10% to less than 20%,10% to less than 20%,10% to less than 20%
0400000US12,null,Florida,453998,null,All other miscellaneous store retailers (except tobacco stores),2017,1705,1938,1515453,230112,54887,8494,10% to less than 20%,Less than 10%,Less than 10%
0400000US12,null,Florida,454110,null,Electronic shopping and mail-order houses,2017,3698,3751,24003758,1452285,353515,35002,20% to less than 30%,10% to less than 20%,10% to less than 20%
0400000US12,null,Florida,454210,null,Vending machine operators,2017,325,351,350644,56838,14343,1855,Less than 10%,40% to less than 50%,30% to less than 40%
0400000US12,null,Florida,454310,null,Fuel dealers,2017,108,191,612076,75383,17593,1704,Less than 10%,Less than 10%,10% to less than 20%
0400000US12,null,Florida,454390,null,Other direct selling establishments,2017,1962,2071,1953580,310152,73238,8510,10% to less than 20%,10% to less than 20%,10% to less than 20%
